   1.0000000000000000E-004   1.9383681708028098E-005   1.0006713723888043E-006
   2.0000000000000001E-004   4.5204708869124820E-005   1.0008952128925197E-006
   3.0000000000000003E-004   7.3727312715465889E-005   1.0009704129005551E-006
   4.0000000000000002E-004   1.0261379458728952E-004   1.0009954139024058E-006
   5.0000000000000001E-004   1.3204942588362261E-004   1.0010034954555687E-006
   6.0000000000000006E-004   1.6137914618494031E-004   1.0010059322005619E-006
   7.0000000000000010E-004   1.9097789665346548E-004   1.0010065126790813E-006
   8.0000000000000015E-004   2.2026645534437337E-004   1.0010065211208139E-006
   9.0000000000000019E-004   2.4913095325583800E-004   1.0010064028277415E-006
   1.0000000000000002E-003   2.7808465037573325E-004   1.0010063186729415E-006
  1.000000000000000E-004  1.938368170786815E-005  1.000671372388804E-006
  2.000000000000000E-004  4.517895077044800E-005  1.000895212892514E-006
  3.000000000000000E-004  7.311843191023073E-005  1.000969793749301E-006
  4.000000000000000E-004  1.017684346094514E-004  1.000994650268840E-006
  5.000000000000000E-004  1.306512125757831E-004  1.001002934401599E-006
  6.000000000000001E-004  1.596081558393073E-004  1.001005694555289E-006
  7.000000000000001E-004  1.885867582963555E-004  1.001006613622605E-006
  8.000000000000001E-004  2.175697736580218E-004  1.001006919147531E-006
  9.000000000000002E-004  2.465516524751768E-004  1.001007020221073E-006
  1.000000000000000E-003  2.755307059041197E-004  1.001007053138750E-006
  1.000000000000000E-004  1.938368170786815E-005  1.000671372388804E-006
  2.000000000000000E-004  4.517895077044800E-005  1.000895212892514E-006
  3.000000000000000E-004  7.311843191023073E-005  1.000969793749301E-006
  4.000000000000000E-004  1.017684346094514E-004  1.000994650268840E-006
  5.000000000000000E-004  1.306512125757831E-004  1.001002934401599E-006
  6.000000000000001E-004  1.596081558393073E-004  1.001005694555289E-006
  7.000000000000001E-004  1.885867582963555E-004  1.001006613622605E-006
  8.000000000000001E-004  2.175697736580218E-004  1.001006919147531E-006
  9.000000000000002E-004  2.465516524751768E-004  1.001007020221073E-006
  1.000000000000000E-003  2.755307059041197E-004  1.001007053138750E-006
  1.000000000000000E-004  1.938368170786815E-005  1.000671372388804E-006
  2.000000000000000E-004  4.517895077044800E-005  1.000895212892514E-006
  3.000000000000000E-004  7.311843191023073E-005  1.000969793749301E-006
  4.000000000000000E-004  1.017684346094514E-004  1.000994650268840E-006
  5.000000000000000E-004  1.306512125757831E-004  1.001002934401599E-006
  6.000000000000001E-004  1.596081558393073E-004  1.001005694555289E-006
  7.000000000000001E-004  1.885867582963555E-004  1.001006613622605E-006
  8.000000000000001E-004  2.175697736580218E-004  1.001006919147531E-006
  9.000000000000002E-004  2.465516524751768E-004  1.001007020221073E-006
  1.000000000000000E-003  2.755307059041197E-004  1.001007053138750E-006
  1.000000000000000E-004 -5.410465023780097E-004  1.012011971036646E-006
  2.000000000000000E-004  1.727398770105554E-002  7.927003086834849E-007
  3.000000000000000E-004 -0.541461848932298       1.033196921283610E-005
  4.000000000000000E-004   17.0612027385900      -3.954345990991017E-004
  5.000000000000000E-004  -539.976881918167       1.683994040420765E-002
  6.000000000000001E-004   16602.2590398345      -0.766065312931596     
  7.000000000000001E-004  -639545.068544801       -62.9647367814293     
  8.000000000000001E-004  -11961240925.9795        101164.676675197     
  9.000000000000002E-004 -8.975962565022364E+020   14943341426061.4     
  1.000000000000000E-003 -7.476253599900268E+041  5.992326266102067E+031
